;Unnamed: 0;Submitby Date Time;Tc Direct Project ID;Challenge Manager;Challenge Copilot;Posting Date Date;Track;Technology List;Duration;Num Valid Submissions;First Place Prize;Num Appeals;Num Checkpoint Submissions;Num Registrations;Num Submissions;Num Submissions Passed Review;Num Successful Appeals;Num Valid Checkpoint Submissions;Contest Prizes Total;Copilot Cost;Total Prize
0;1;1899-12-31 00:00:00;9130;AAAAAAAADE;AAAAAAAAAA;2016-02-11;Develop;.NET,ASP.NET,C#,REST,SQL Server;0;0;US$1.500,00;0;0;30;0;0;0;0;US$0,00;US$0,00;US$2.250,00
1;2;1899-12-31 00:00:00;11102;AAAAAAAAAH;AAAAAAAAAB;2017-03-23;Develop;Bootstrap,CSS,HTML5,JavaScript;0;0;US$2.000,00;0;0;47;0;0;0;0;US$0,00;US$0,00;US$3.000,00
2;3;1899-12-31 00:00:00;15970;AAAAAAAAAH;AAAAAAAAAC;2017-12-12;Design;0;0;0;US$1.300,00;0;7;24;0;0;0;7;US$0,00;US$0,00;US$2.500,00
3;4;1899-12-31 00:00:00;9362;AAAAAAAAAH;AAAAAAAAAA;2016-02-23;Develop;.NET,ASP.NET,C#;0;0;US$1.000,00;0;0;30;0;0;0;0;US$0,00;US$0,00;US$1.500,00
4;5;1899-12-31 00:00:00;15373;AAAAAAAAAH;AAAAAAAAAA;2018-01-03;Develop;Android,HTML5,Ionic,JavaScript,iOS;0;0;US$1.800,00;0;0;20;0;0;0;0;US$0,00;US$0,00;US$2.700,00
5;6;1899-12-31 00:00:00;8576;AAAAAAAADF;AAAAAAAAAA;2016-04-20;Develop;Angular.js,HTML5,Node.js;0;0;US$400,00;0;0;23;0;0;0;0;US$0,00;US$0,00;US$600,00
6;7;1899-12-31 00:00:00;15613;AAAAAAAAAH;AAAAAAAAAD;2017-10-23;Design;0;0;0;US$1.700,00;0;0;12;0;0;0;0;US$75,00;US$0,00;US$3.250,00
7;8;1899-12-31 00:00:00;9307;AAAAAAAAAH;AAAAAAAAAB;2016-03-12;Design;0;0;2;US$1.300,00;0;19;65;2;2;0;18;US$250,00;US$0,00;US$1.850,00
8;9;1899-12-31 00:00:00;15240;AAAAAAAAAH;AAAAAAAAAE;2017-11-09;Develop;ReactJS;0;0;US$1.300,00;0;0;29;0;0;0;0;US$0,00;US$0,00;US$1.950,00
9;10;1899-12-31 00:00:00;14312;AAAAAAAAAH;AAAAAAAAAA;2017-08-06;Develop;Angular.js (1.0),CSS,HTML5,JavaScript;0;1;US$1.200,00;0;0;35;1;1;0;0;US$0,00;US$0,00;US$1.800,00
11;12;1899-12-31 00:00:00;16045;AAAAAAAAAH;AAAAAAAAAD;2017-12-13;Design;0;0;0;US$1.000,00;0;2;23;0;0;0;2;US$0,00;US$0,00;US$1.800,00
12;13;1899-12-31 00:00:00;15509;AAAAAAAAAH;AAAAAAAAAG;2017-12-18;Develop;JSON,Java,Java Application,REST,Spring;0;0;US$1.200,00;0;0;59;0;0;0;0;US$0,00;US$0,00;US$1.800,00
13;14;1899-12-31 00:00:00;15106;AAAAAAAADH;AAAAAAAAAH;2017-09-15;Design;0;0;0;US$23,00;0;0;0;0;0;0;0;US$75,00;US$0,00;US$28,00
